Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source,Owner First Name,Owner Last Name
Granite supplier,,"Shrewsbury Marble & Granite, Inc.",(508) 842-9800,,shrewsburymarbleandgranite.com,,24,3.9,,,,,,,,,,,,"620 Boston Turnpike, Shrewsbury, MA 01545",Shrewsbury,WORCESTER,MA,,"77GV+G2 Shrewsbury, Massachusetts",Google Maps,GINA,MARIE DIPIETRO
Granite supplier,,"Shrewsbury Marble & Granite, Inc.",(508) 842-9800,,shrewsburymarbleandgranite.com,,24,3.9,,,,,,,,,,,,"620 Boston Turnpike, Shrewsbury, MA 01545",Shrewsbury,WORCESTER,MA,,"77GV+G2 Shrewsbury, Massachusetts",Google Maps,MAJID,GOHARZADEH
Italian restaurant,,Milano Importing,(413) 737-7367,,milanosonmain.com,,173,4.7,,,,,,,,,,,,"988 Main St, Springfield, MA 01103",Springfield,HAMPDEN,MA,,"3CX8+G7 Springfield, Massachusetts",Google Maps,ANTONIO,RECCHIA
Italian restaurant,,Milano Importing,(413) 737-7367,,milanosonmain.com,,173,4.7,,,,,,,,,,,,"988 Main St, Springfield, MA 01103",Springfield,HAMPDEN,MA,,"3CX8+G7 Springfield, Massachusetts",Google Maps,NICK,RECCHIA
Thrift store,,Central Berkshire Habitat ReStore,(413) 443-2106,,berkshirerestore.org,,108,4.3,,,,,,,,,,,,"399 Hubbard Ave, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"FR66+J3 Pittsfield, Massachusetts",Google Maps,,
General contractor,,X'CLUSIVE RENOS & REMODELING LLC,(857) 210-8713,,xclusiverenosandremodelling.com,,26,5.0,,,,,,,,,,,,"17 Blakeville St, Boston, MA 02121",Boston,SUFFOLK,MA,,"8W3H+QQ Boston, Massachusetts",Google Maps,,
Counter Top,,B&B Custom Cabinets and Countertops,,,,,,,Barry,Snyder,,,,,,,,,,02537,East Sandwich,BARNSTABLE,MA,,,Thumbtack,,
Countertop contractor,,Boston Fabrication,(774) 331-2214,,constantcontactsites.com,,16,3.3,,,,,,,,,,,,"39 Franklin R McKay Rd, Attleboro, MA 02703",Attleboro,BRISTOL,MA,,"WMCJ+62 Attleboro, Massachusetts",Google Maps,,
Juice shop,,LAKAY NUTRISPOT,(508) 567-5504,,,,25,5.0,,,,,,,,,,,,"4263 N Main St, Fall River, MA 02720",Fall River,BRISTOL,MA,,"QV2H+XQ Fall River, Massachusetts",Google Maps,,
Glass repair service,,Window & Home Services,(617) 501-0436,,windowsandhomesllc.com,,30,4.9,,,,,,,,,,,,"100 High St, Medford, MA 02155",Medford,MIDDLESEX,MA,,"CV9P+JH Medford, Massachusetts",Google Maps,,
Cabinet store,,Prestige Kitchen & Bath,(781) 670-3909,,prestigekb.com,,23,5.0,,,,,,,,,,,,"14 Charles St, Needham, MA 02494",Needham Heights,NORFOLK,MA,,"8Q4G+JM Needham, Massachusetts",Google Maps,,
Heating oil supplier,,Sandri Energy,(413) 772-2121,,sandri.com,,143,4.6,,,,,,,,,,,,"400 Chapman St, Greenfield, MA 01301",Greenfield,FRANKLIN,MA,,"J93W+X9 Greenfield, Massachusetts",Google Maps,,
Home improvement store,,Beer Naked Brewery,(413) 773-9150,,homedepot.com,,623,4.1,,,,,,,,,,,,"264 Mohawk Trail, Greenfield, MA 01301",Greenfield,FRANKLIN,MA,,"H9MC+WP Greenfield, Massachusetts",Google Maps,,
Contractor,,Attleboro Kitchen and Bath,(508) 226-2284,,attleborokitchenandbath.com,,14,3.5,,,,,,,,,,,,"8 Lamb St, Attleboro, MA 02703",Attleboro,BRISTOL,MA,,"WPM7+5Q Attleboro, Massachusetts",Google Maps,,
Kitchen remodeler,,Berkshire Home Services,(413) 623-4483,,,,,,,,,,,,,,,,,"77 Sitting Bull Dr, Becket, MA 01223",Becket,BERKSHIRE,MA,,"6XX3+W4 Becket, Massachusetts",Google Maps,,
Restaurant,,"Avery's General Store,Takeout Restaurant and Bubble Tea Bar",(413) 339-4915,,averysgeneral.store,,90,4.8,,,,,,,,,,,,"127 Main St, Charlemont, MA 01339",Charlemont,FRANKLIN,MA,,"J4HG+7J Charlemont, Massachusetts",Google Maps,,
Marble supplier,,Dimension Stone Inc,(508) 845-8060,,thedimensionstone.com,,14,4.7,,,,,,,,,,,,"567 Hartford Turnpike, Shrewsbury, MA 01545",Shrewsbury,WORCESTER,MA,,"7862+GM Shrewsbury, Massachusetts",Google Maps,GRIMALDO,LEITE
Marble supplier,,Dimension Stone Inc,(508) 845-8060,,thedimensionstone.com,,14,4.7,,,,,,,,,,,,"567 Hartford Turnpike, Shrewsbury, MA 01545",Shrewsbury,WORCESTER,MA,,"7862+GM Shrewsbury, Massachusetts",Google Maps,HARLEY,DECASTRO
Manufacturer,,The Butler Corporation,(800) 535-5025,,butlersystem.com,,19,4.4,,,,,,,,,,,,"251 Moody St, Ludlow, MA 01056",Ludlow,HAMPDEN,MA,,"5FQR+P9 Ludlow, Massachusetts",Google Maps,DON,R GEORGE GEORGE
Manufacturer,,The Butler Corporation,(800) 535-5025,,butlersystem.com,,19,4.4,,,,,,,,,,,,"251 Moody St, Ludlow, MA 01056",Ludlow,HAMPDEN,MA,,"5FQR+P9 Ludlow, Massachusetts",Google Maps,JOHN,S MESHEAU MESHEAU
Manufacturer,,The Butler Corporation,(800) 535-5025,,butlersystem.com,,19,4.4,,,,,,,,,,,,"251 Moody St, Ludlow, MA 01056",Ludlow,HAMPDEN,MA,,"5FQR+P9 Ludlow, Massachusetts",Google Maps,JOHN,S. MESHEAU
Counter Top,,5 Star Granite Inc,,,,,,,Lucas,Lopes,,,,,,,https://www.thumbtack.com/websites/services/379528729807216648/instagram/redirect,https://www.thumbtack.com/websites/services/379528729807216648/facebook/redirect,,02537,East Sandwich,BARNSTABLE,MA,,,Thumbtack,CAROLINA,MASSOTE
Counter Top,,5 Star Granite Inc,,,,,,,Lucas,Lopes,,,,,,,https://www.thumbtack.com/websites/services/379528729807216648/instagram/redirect,https://www.thumbtack.com/websites/services/379528729807216648/facebook/redirect,,02537,East Sandwich,BARNSTABLE,MA,,,Thumbtack,FABIANA,MASSOTE
Counter Top,,5 Star Granite Inc,,,,,,,Lucas,Lopes,,,,,,,https://www.thumbtack.com/websites/services/379528729807216648/instagram/redirect,https://www.thumbtack.com/websites/services/379528729807216648/facebook/redirect,,02537,East Sandwich,BARNSTABLE,MA,,,Thumbtack,LUCAS,LOPES
Countertop store,,Llinkk Countertops,(978) 783-2120,,llinkkcountertops.com,,6,5.0,,,,,,,,,,,,"349 N Main St, Andover, MA 01810",Andover,ESSEX,MA,,"MRFX+5P Andover, Massachusetts",Google Maps,NATALIA,BADARO
Countertop store,,Llinkk Countertops,(978) 783-2120,,llinkkcountertops.com,,6,5.0,,,,,,,,,,,,"349 N Main St, Andover, MA 01810",Andover,ESSEX,MA,,"MRFX+5P Andover, Massachusetts",Google Maps,LEANDRO,BADARO
Warehouse store,,Costco Wholesale,(508) 232-4000,,costco.com,,2706,4.5,,,,,,,,,,,,"120 Stockwell Dr, Avon, MA 02322",Avon,NORFOLK,MA,,"4WPM+VF Avon, Massachusetts",Google Maps,,
Self-storage facility,,Extra Space Storage,(508) 998-2494,,extraspace.com,,993,4.9,,,,,,,,,,,,"3131 Acushnet Ave, New Bedford, MA 02745",New Bedford,BRISTOL,MA,,"P348+56 New Bedford, Massachusetts",Google Maps,K.,FRED SKOUSEN
Self-storage facility,,Extra Space Storage,(508) 998-2494,,extraspace.com,,993,4.9,,,,,,,,,,,,"3131 Acushnet Ave, New Bedford, MA 02745",New Bedford,BRISTOL,MA,,"P348+56 New Bedford, Massachusetts",Google Maps,JOSEPH,MARGOLIS
Self-storage facility,,Extra Space Storage,(508) 998-2494,,extraspace.com,,993,4.9,,,,,,,,,,,,"3131 Acushnet Ave, New Bedford, MA 02745",New Bedford,BRISTOL,MA,,"P348+56 New Bedford, Massachusetts",Google Maps,SPENCER,F. KIRK
Self-storage facility,,Extra Space Storage,(508) 998-2494,,extraspace.com,,993,4.9,,,,,,,,,,,,"3131 Acushnet Ave, New Bedford, MA 02745",New Bedford,BRISTOL,MA,,"P348+56 New Bedford, Massachusetts",Google Maps,GWYN,G. MCNEAL
Self-storage facility,,Extra Space Storage,(508) 998-2494,,extraspace.com,,993,4.9,,,,,,,,,,,,"3131 Acushnet Ave, New Bedford, MA 02745",New Bedford,BRISTOL,MA,,"P348+56 New Bedford, Massachusetts",Google Maps,P.,SCOTT STUBBS
Home improvement store,,GMD COUNTERTOPS CHICAGO,(413) 773-9150,,homedepot.com,,623,4.1,,,,,,,,,,,,"264 Mohawk Trail, Greenfield, MA 01301",Greenfield,FRANKLIN,MA,,"H9MC+WP Greenfield, Massachusetts",Google Maps,,
Sandwich shop,,D'Angelo Grilled Sandwiches,(413) 774-2106,,locations.dangelos.com,,357,4.6,,,,,,,,,,,,"68 Mohawk Trail, Greenfield, MA 01301",Greenfield,FRANKLIN,MA,,"H9MP+WH Greenfield, Massachusetts",Google Maps,,
Supermarket,,ALDI,(855) 955-2534,,stores.aldi.us,,883,4.5,,,,,,,,,,,,"505 Memorial Dr, Chicopee, MA 01020",Chicopee,HAMPDEN,MA,,"5CCF+9Q Chicopee, Massachusetts",Google Maps,,
Masonry contractor,,Swenson Stone Works,(508) 365-1340,,swensongranite.com,,24,5.0,,,,,,,,,,,,"874 Hartford Turnpike, Shrewsbury, MA 01545",Shrewsbury,WORCESTER,MA,,"78GC+5P Shrewsbury, Massachusetts",Google Maps,,
Counter Top,,Hormes Stone,,,,,,,Roberto,Hormes,,,,,,,https://www.thumbtack.com/websites/services/509591338717749262/instagram/redirect,,,02537,East Sandwich,BARNSTABLE,MA,,,Thumbtack,,
Granite supplier,,Granite Plus,(978) 715-0217,,granitepluscounters.com,,88,4.8,,,,,,,,,,,,"9 Progress Ave, Chelmsford, MA 01824",Chelmsford,MIDDLESEX,MA,,"HMWH+V4 Chelmsford, Massachusetts",Google Maps,,
Marble contractor,,Star Marble & Granite,(508) 252-4300,,rt44starmarble.com,,2,5.0,,,,,,,,,,,,"55 Winthrop St, Rehoboth, MA 02769",Rehoboth,BRISTOL,MA,,"VQ8Q+MM Rehoboth, Massachusetts",Google Maps,,
Furniture store,,PRO VANITY LLC,(413) 409-8186,,,,12,5.0,,,,,,,,,,,,"50 Holyoke St D 371, Holyoke, MA 01040",Holyoke,HAMPDEN,MA,,"5995+3F Holyoke, Massachusetts",Google Maps,,
Kitchen remodeler,,Cana Home Design Center,(781) 762-2524,,canahome.net,,42,4.9,,,,,,,,,,,,"765 Main St, Walpole, MA 02081",Walpole,NORFOLK,MA,,"5Q22+VC Walpole, Massachusetts",Google Maps,,
Bakery,,Barcelos Bakery,(508) 676-8661,,barcelosbakeryma.com,,699,4.6,,,,,,,,,,,,"695 Bedford St, Fall River, MA 02720",Fall River,BRISTOL,MA,,"MVX4+QR Fall River, Massachusetts",Google Maps,,
Appliance store,,Central Radio Appliance & Furniture,(413) 664-9685,,centralradio1933.com,,70,4.5,,,,,,,,,,,,"1 Roberts Dr, North Adams, MA 01247",North Adams,BERKSHIRE,MA,,"MVX6+HH North Adams, Massachusetts",Google Maps,,
Convenience store,,Nouria,(413) 642-9065,,nouria.com,,,4.0,,,,,,,,,,,,"242 Mohawk Trail, Greenfield, MA 01301",Greenfield,FRANKLIN,MA,,"H9PF+7G Greenfield, Massachusetts",Google Maps,,
Lawn mower store,,RJ's Outdoor Power Inc.,(413) 437-8660,,rjsoutdoorpower.com,,92,4.7,,,,,,,,,,,,"460 New Ludlow Rd, Chicopee, MA 01020",Chicopee,HAMPDEN,MA,,"6C7P+FP Chicopee, Massachusetts",Google Maps,,
Kitchen remodeler,,Ridgemark Home Remodeling,(508) 202-0097,,ridgemark-homes.com,,29,5.0,,,,,,,,,,,,"516 Boston Turnpike, Shrewsbury, MA 01545",Shrewsbury,WORCESTER,MA,,"77GM+F3 Shrewsbury, Massachusetts",Google Maps,,
Countertop store,,"Adams Stone, LLC",(857) 753-8561,,,,55,5.0,,,,,,,,,,,,"163 Adams St, Braintree, MA 02184",Braintree,NORFOLK,MA,,"62F6+JJ Braintree, Massachusetts",Google Maps,,
Counter Top,,Three Stone,,,,,,,Carlos,Oliveira,,,,,,,https://www.thumbtack.com/websites/services/517628588242804736/instagram/redirect,,,02537,East Sandwich,BARNSTABLE,MA,,,Thumbtack,,
Countertop store,,Renew budget countertops,(508) 647-8800,,mmgsurfaces.com,,,,,,,,,,,,,,,"42 Commonwealth Ave Unit 5, North Attleborough, MA 02760",North Attleboro,BRISTOL,MA,,"3M2X+Q9 Wrentham, Massachusetts",Google Maps,,
Home improvement store,,JRS Home Improvement,(413) 443-2685,,,,2,5.0,,,,,,,,,,,,"20 Pleasure Ave, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"FQ54+H2 Pittsfield, Massachusetts",Google Maps,,
Countertop store,,Leo's Floor Covering and Counters Inc.,(508) 660-6820,,leosfloorcovering.com,,26,4.5,,,,,,,,,,,,"1320 Main St, Walpole, MA 02081",Walpole,NORFOLK,MA,,"4PPQ+2V Walpole, Massachusetts",Google Maps,,
Countertop contractor,,Almeida Marble and Granite LLC.,(774) 510-9613,,almeidamarbleandgranite.com,,6,4.3,,,,,,,,,,,,"127 W Rodney French Blvd, New Bedford, MA 02744",New Bedford,BRISTOL,MA,,"J36J+JR New Bedford, Massachusetts",Google Maps,,
Tire shop,,Monro Auto Service and Tire Centers,(413) 398-3048,,locations.monro.com,,685,4.7,,,,,,,,,,,,"211 State Rd, North Adams, MA 01247",North Adams,BERKSHIRE,MA,,"MVX5+89 North Adams, Massachusetts",Google Maps,,
Comic book store,,His and Hers Comics,(413) 325-8133,,facebook.com,,41,5.0,,,,,,,,,,,,"40 Bank Row, Greenfield, MA 01301",Greenfield,FRANKLIN,MA,,"H9PX+PJ Greenfield, Massachusetts",Google Maps,,
Grocery store,,Food Zone International Supermarket,(413) 731-5600,,,,1799,4.0,,,,,,,,,,,,"355 Belmont Ave, Springfield, MA 01108",Springfield,HAMPDEN,MA,,"3CQP+95 Springfield, Massachusetts",Google Maps,,
Countertop store,,South Shore Granite,(781) 927-9416,,southshoregranite.com,,27,4.0,,,,,,,,,,,,"29 Adams St, Braintree, MA 02184",Braintree,NORFOLK,MA,,"62F3+RW Braintree, Massachusetts",Google Maps,,
Cabinet maker,,Crowne Cabinetry,(508) 869-6730,,crownecabinetry.com,,,,,,,,,,,,,,,"317 Linden St, Boylston, MA 01505",Boylston,WORCESTER,MA,,"97CV+F2 Boylston, Massachusetts",Google Maps,,
Counter Top,,Onyx Marble and Granite,,,,,,,Poliana,Moraes,,,,,,,https://www.thumbtack.com/websites/services/467222827721031688/instagram/redirect,https://www.thumbtack.com/websites/services/467222827721031688/facebook/redirect,,02537,East Sandwich,BARNSTABLE,MA,,,Thumbtack,,
Countertop store,,Rock Solid Marble And Granite LLC,(413) 229-9001,,rocksolidmarbleandgranite.com,,23,4.8,,,,,,,,,,,,"1719 N Main St, Sheffield, MA 01257",Sheffield,BERKSHIRE,MA,,"5J2M+WQ Sheffield, Massachusetts",Google Maps,,
Granite supplier,,APE STONE - MARBLE & GRANITE,(508) 933-8631,,apestonemarblegranite.com,,,5.0,,,,,,,,,,,,"45D Woodland Ave, Seekonk, MA 02771",Seekonk,BRISTOL,MA,,"VMPH+8M Seekonk, Massachusetts",Google Maps,,
Building materials supplier,,Spectrum Quartz,(781) 619-3529,,spectrumquartz.com,,9,4.1,,,,,,,,,,,,"565 University Ave, Norwood, MA 02062",Norwood,NORFOLK,MA,,"5RXP+PH Norwood, Massachusetts",Google Maps,,
Tile store,,Garcia Imported Tile Co Inc,(508) 991-4455,,garciatile.com,,18,4.7,,,,,,,,,,,,"410 Main St, Fairhaven, MA 02719",Fairhaven,BRISTOL,MA,,"M36R+FH Fairhaven, Massachusetts",Google Maps,,
Cannabis store,,Silver Therapeutics,(413) 458-6244,,silver-therapeutics.com,,646,4.6,,,,,,,,,,,,"238 Main St, Williamstown, MA 01267",Williamstown,BERKSHIRE,MA,,"PR38+26 Williamstown, Massachusetts",Google Maps,,
Cannabis store,,HiBrid Dispensary Pittsfield,(413) 344-4020,,hibridco.com,,578,4.9,,,,,,,,,,,,"1317 East St, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"FQ3H+GF Pittsfield, Massachusetts",Google Maps,,
Counter Top,,Apex Marble and Granite,,,,,,,Rodrigo,Cruciol,,,,,,,,,,02534,Cataumet,BARNSTABLE,MA,,,Thumbtack,,
Home improvement store,,The Home Depot,(978) 840-0800,,homedepot.com,,1630,4.2,,,,,,,,,,,,"135 Commercial Rd, Leominster, MA 01453",Leominster,WORCESTER,MA,,,Google Maps,,
Tile store,,Lee Tile & Stone | A GENROSE Company,(413) 243-9383,,leetileandstone.com,,9,4.8,,,,,,,,,,,,"905 Pleasant St, Lee, MA 01238",Lee,BERKSHIRE,MA,,"7PHR+9C Lee, Massachusetts",Google Maps,,
Countertop store,,Bill Shea's Replacement Countertops,(888) 267-4269,,billsheas.com,,25,4.2,,,,,,,,,,,,"11 Lebanon St, Quincy, MA 02169",Quincy,NORFOLK,MA,,"62XC+54 Quincy, Massachusetts",Google Maps,,
Cabinet store,,Nutop Co,(508) 785-2200,,nutop.com,,4,4.3,,,,,,,,,,,,"7 Whiting Rd, Dover, MA 02030",Dover,NORFOLK,MA,,"6PV9+J2 Dover, Massachusetts",Google Maps,,
Plumbing supply store,,Ferguson Waterworks,(413) 593-1219,,ferguson.com,,3,5.0,,,,,,,,,,,,"12 Carmelinas Cir, Ludlow, MA 01056",Ludlow,HAMPDEN,MA,,"5HF3+2Q Ludlow, Massachusetts",Google Maps,,
Kitchen remodeler,,JA Gallagher Inc.,(508) 226-2284,,,,,,,,,,,,,,,,,"8 Lamb St, Attleboro, MA 02703",Attleboro,BRISTOL,MA,,"WPM7+5Q Attleboro, Massachusetts",Google Maps,,
Countertop store,,Coastal N Counters,(508) 539-3500,,coastalncounters.net,,,,,,,,,,,,,,,"92 Industrial Dr #8, Mashpee, MA 02649",Mashpee,BARNSTABLE,MA,,"JG35+CV Mashpee, Massachusetts",Google Maps,,
Tire shop,,Hometown Tire,(413) 398-5564,,edan.io,,117,4.9,,,,,,,,,,,,"525 Ashland St, North Adams, MA 01247",North Adams,BERKSHIRE,MA,,"MVMW+XW North Adams, Massachusetts",Google Maps,,
Cannabis store,,Bloom Brothers,(413) 464-7443,,bloombrothers.com,,1253,4.9,,,,,,,,,,,,"2 Larch St, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"FQ5R+C4 Pittsfield, Massachusetts",Google Maps,,
Granite supplier,,Finest Granite,(508) 281-0076,,finestgranite.net,,9,5.0,,,,,,,,,,,,"353 Turnpike Rd, Southborough, MA 01772",Southborough,WORCESTER,MA,,"7CQV+W3 Southborough, Massachusetts",Google Maps,SANDRO,R OLIVEIRA
Granite supplier,,Finest Granite,(508) 281-0076,,finestgranite.net,,9,5.0,,,,,,,,,,,,"353 Turnpike Rd, Southborough, MA 01772",Southborough,WORCESTER,MA,,"7CQV+W3 Southborough, Massachusetts",Google Maps,MAURO,CM DOSSANTOS
Countertop store,,Northeastern Marble & Granite,(781) 660-6151,,northeasterngranite.com,,33,3.6,,,,,,,,,,,,"29 Adams St, Braintree, MA 02184",Braintree,NORFOLK,MA,,"62F3+RW Braintree, Massachusetts",Google Maps,BRUNA,P GOMES
Countertop store,,Northeastern Marble & Granite,(781) 660-6151,,northeasterngranite.com,,33,3.6,,,,,,,,,,,,"29 Adams St, Braintree, MA 02184",Braintree,NORFOLK,MA,,"62F3+RW Braintree, Massachusetts",Google Maps,JOSE,T FILHO
Countertop store,,Leo's Marble - Granite - Quartz,(844) 725-1760,,leosgranite.com,,79,4.9,,,,,,,,,,,,"Next to Overhead Door Company, 444 Central St, Leominster, MA 01453",Leominster,WORCESTER,MA,,"G66W+CG Leominster, Massachusetts",Google Maps,,
Antique store,,Berkshire Emporium & Antiques,(413) 664-4032,,berkshireemporium.com,,233,4.5,,,,,,,,,,,,"59 Main St, North Adams, MA 01247",North Adams,BERKSHIRE,MA,,"MVXQ+Q3 North Adams, Massachusetts",Google Maps,,
Appliance store,,Mike's Maytag Home Appliance Center,(413) 443-4692,,mikesmaytag.com,,61,4.6,,,,,,,,,,,,"14 Gordon St, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"CQW3+GR Pittsfield, Massachusetts",Google Maps,,
Home improvement store,,ProSource of Boston South Shore,(781) 205-9497,,prosourcewholesale.com,,15,4.4,,,,,,,,,,,,"956 Turnpike St, Canton, MA 02021",Canton,NORFOLK,MA,,"5V3V+MR Canton, Massachusetts",Google Maps,,
Gun shop,,PIONEER VALLEY ARMS,(413) 224-2400,,pioneervalleyarms.com,,117,4.8,,,,,,,,,,,,"50 Shaker Rd, East Longmeadow, MA 01028",East Longmeadow,HAMPDEN,MA,,"3F7P+5H East Longmeadow, Massachusetts",Google Maps,,
Cannabis store,,Budhaus Cannabis Store,(413) 281-7394,,budha.us,,132,4.6,,,,,,,,,,,,"239 West St, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"CPXQ+45 Pittsfield, Massachusetts",Google Maps,,
Sheet metal contractor,,Den Mar Corporation,(508) 999-3295,,denmar-corp.com,,10,5.0,,,,,,,,,,,,"1005 Reed Rd, North Dartmouth, MA 02747",North Dartmouth,BRISTOL,MA,,"MX78+H5 North Dartmouth, Dartmouth, MA",Google Maps,,
Granite supplier,,Counterra,(800) 611-6771,,counterra.com,,,,,,,,,,,,,,,"12 E Chestnut St, Sharon, MA 02067",Sharon,NORFOLK,MA,,"4RCC+94 Sharon, Massachusetts",Google Maps,,
Cabinet store,,Federal Cabinets and Countertops,(617) 481-2685,,kitchenandlights.com,,34,4.0,,,,,,,,,,,,"77 Federal Ave, Quincy, MA 02169",Quincy,NORFOLK,MA,,"6XQV+3Q Quincy, Massachusetts",Google Maps,,
Stone supplier,,Cosentino Center Boston,(508) 393-9600,,cosentino.com,,6,3.7,,,,,,,,,,,,"120 Shawmut Rd, Canton, MA 02021",Canton,NORFOLK,MA,,"5RMW+7R Canton, Massachusetts",Google Maps,,
Cabinet store,,Frankenstein Refinishing,(508) 544-9800,,frankensteinrefinishing.com,,27,4.9,,,,,,,,,,,,"248 E Central St, Franklin, MA 02038",Franklin,NORFOLK,MA,,"3JJ7+4G Franklin, Massachusetts",Google Maps,,
Furniture store,,"American Freight Furniture, Mattress, Appliance",(339) 788-5100,,americanfreight.com,,129,4.8,,,,,,,,,,,,"2 Fairhaven Commons Way, Fairhaven, MA 02719",Fairhaven,BRISTOL,MA,,"J4R7+WG Fairhaven, Massachusetts",Google Maps,,
Mobile phone repair shop,,QuickFix Mobile Repair and More,(413) 347-8028,,quickfixmobilerepairandmore.com,,130,4.8,,,,,,,,,,,,"555 North St, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"FP4X+JF Pittsfield, Massachusetts",Google Maps,,
Kitchen remodeler,,American Dream Design,(978) 537-3786,,americandreamdesign.net,,44,4.8,,,,,,,,,,,,"20 Main St 2nd Floor - B, Leominster, MA 01453",Leominster,WORCESTER,MA,,"G6GR+R5 Leominster, Massachusetts",Google Maps,,
Kitchen remodeler,,Kitchens Plus Flooring,(978) 218-8039,,kitchensplusflooring.net,,7,4.4,,,,,,,,,,,,"50 Main St, Gardner, MA 01440",Gardner,WORCESTER,MA,,"H2G3+7W Gardner, Massachusetts",Google Maps,,
Appliance store,,Toomey Appliance Inc,(413) 448-2270,,,,2,4.5,,,,,,,,,,,,"345 North St, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"FP3W+CW Pittsfield, Massachusetts",Google Maps,MICHAEL,EDWARD TOOMEY
Appliance store,,Toomey Appliance Inc,(413) 448-2270,,,,2,4.5,,,,,,,,,,,,"345 North St, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"FP3W+CW Pittsfield, Massachusetts",Google Maps,MICHAEL,E TOOMEY
Appliance store,,Toomey Appliance Inc,(413) 448-2270,,,,2,4.5,,,,,,,,,,,,"345 North St, Pittsfield, MA 01201",Pittsfield,BERKSHIRE,MA,,"FP3W+CW Pittsfield, Massachusetts",Google Maps,MICHAEL,E. TOOMEY
