Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source,Email
Roofing contractor,,Shore Lock Homes,(800) 916-9438,,justfixmyhome.com,,74,4.1,,,,,,,,,,https://www.facebook.com/shorelockhomes/,,"2 Pumpkin Pine Rd, Natick, MA 01760",Natick,MIDDLESEX,MA,,,Google Maps
Roofing contractor,,Belmonte Roofing & Remodeling,(508) 269-8210,,,,,5.0,,,,,,,,,,https://www.facebook.com/belmonteroofingandremodeling/,,"3 Concetta Cir, Mansfield, MA 02048",Mansfield,BRISTOL,MA,,"2QRJ+HF Mansfield, Massachusetts",Google Maps
Roofing Contractor,Portuguese,Forty one construction,,,,,,,Daniel,Araújo,,,,,,,https://www.thumbtack.com/websites/services/270680200105657404/instagram/redirect,https://www.thumbtack.com/websites/services/270680200105657404/facebook/redirect,,02532,Buzzards Bay,BARNSTABLE,MA,,,Thumbtack
General Contractors,,Square Up Construction,(978) 732-4580,,,,1,5,,,,,,,,,,https://www.facebook.com/biz/contractor/?place_id=103094516397070,,68 Stuart St,Gardner,WORCESTER,MA,,,Yelp
Roofing contractor,American,Bosworth Roofing Remodeling,(508) 881-9400,,bosworthroofing.com,,7,3.7,BEAU,W. BOSWORTH,,,,bosworthroofing@yahoo.com,,,,https://www.facebook.com/bosworth.roofing.5/,,"1 W Mountain Ln, Ashland, MA 01721",Ashland,MIDDLESEX,MA,,"7G9P+87 Ashland, Massachusetts",Google Maps
Roofing contractor,,Classic Metal Roofs,(978) 562-7770,,classicmetalroofs.com,,87,4.8,,,,,,michele@classicmetalroofs.com,,,,https://www.facebook.com/ClassicMetalRoofsLlc,https://linkedin.com/company/classic-metal-roofs-llc/,"156 Northboro Rd A7, Southborough, MA 01772",Southborough,WORCESTER,MA,,"8C7G+F2 Southborough, Massachusetts",Google Maps
Roofing contractor,Spanish,"TCT contractors inc ,",(857) 880-7975,,tctroofing.com,,,5.0,ALBERTO,CHOC GARCIA,,,,info@tctroofing.com,,,,https://www.facebook.com/TCTContractors/,,"49 Park St, Hudson, MA 01749",Hudson,MIDDLESEX,MA,,"9CQG+55 Hudson, Massachusetts",Google Maps
General contractor,,Gerry Home Improvements,(413) 834-8830,,,,2,3.5,,,,,,,,,,https://www.facebook.com/p/Gerry-Home-Improvements-100049059023493/,,"391 MA-8A, Charlemont, MA 01339",Charlemont,FRANKLIN,MA,,,Google Maps
Roofing contractor,Spanish,Marquez Construction Inc.,(617) 281-4073,,marquezconstructioninc.com,,26,4.8,FERNANDO,MARQUEZ,,,,marquezfernando95@gmail.com,,,,,,"17 Pinewood Dr, Framingham, MA 01701",Framingham,MIDDLESEX,MA,,"8HJW+72 Framingham, Massachusetts",Google Maps
Roofing contractor,,Commer Roofing,(617) 890-7104,,commercialroofingcontractingmntnc.site,,,,,,,,,,,,,,,"383 Dorchester Ave Suite 230, Boston, MA 02127",Boston,SUFFOLK,MA,,"8WMR+XX Boston, Massachusetts",Google Maps
Roofing contractor,French,Exclusive Roofing Inc.,(508) 558-3844,,exclusiveroofinginc.com,,31,4.9,STEPHEN,PAUL MICHAUD MR.,,,,,,,,,,"1610 Grand Army of the Republic Hwy, Somerset, MA 02726",Somerset,BRISTOL,MA,,"PRQ9+57 Somerset, Massachusetts",Google Maps
Roofing contractor,French,Exclusive Roofing Inc.,(508) 558-3844,,exclusiveroofinginc.com,,31,4.9,STEPHEN,PAUL MICHAUD,,,,,,,,,,"1610 Grand Army of the Republic Hwy, Somerset, MA 02726",Somerset,BRISTOL,MA,,"PRQ9+57 Somerset, Massachusetts",Google Maps
Roofing contractor,Portuguese,American Roofing Inc.,(508) 669-4361,,facebook.com,,5,4.2,ERIC,CORREIA,,,,,,,,,,"2739 Elm St, Dighton, MA 02715",Dighton,BRISTOL,MA,,"QVX7+VV Dighton, Massachusetts",Google Maps
Roofing contractor,Portuguese,American Roofing Inc.,(508) 669-4361,,facebook.com,,5,4.2,PAULA,RODRIGUES,,,,,,,,,,"2739 Elm St, Dighton, MA 02715",Dighton,BRISTOL,MA,,"QVX7+VV Dighton, Massachusetts",Google Maps
Flooring,,Epoxy Wizz,(857) 880-9800,,https://epoxywizz.com,,2,5,,,,,,,,,https://www.instagram.com/epoxywizz/,https://www.facebook.com/profile.php?id=100092717947172&locale=hi_IN&paipv=0&eav=AfZ8GX7JNAMD3NNDsCR3rOGfn2xoG5m8H8uG47sWYwpkovAmGv9OaWFnlDcVR2Xgb9o,,,Malden,MIDDLESEX,MA,,,Yelp
Roofing contractor,,Cochrane Roofing and Siding,(781) 784-9358,,cochraneroofingsiding.com,,10,5.0,,,,,,,,,,,,"237 Bay Rd, Sharon, MA 02067",Sharon,NORFOLK,MA,,"4VJ2+W6 Sharon, Massachusetts",Google Maps
Roofing contractor,,PATRICK KELLY ROOFING AND SIDING,(413) 568-9513,,patrickkellyroofing.com,,113,5.0,,,,,,,,,,,,"12 Old Feeding Hills Rd, Westfield, MA 01085",Westfield,HAMPDEN,MA,,"37XQ+HP Westfield, Massachusetts",Google Maps
Roofing contractor,,PROSHIELD ROOFS,(413) 776-9161,,proshieldroofs.com,,,,,,,,,Pro-shield@outlook.com,,,,https://www.facebook.com/ProShieldRoofs/,,"24 Porter St, Granby, MA 01033",Granby,HAMPSHIRE,MA,,"7F6J+5W Granby, Massachusetts",Google Maps
Roofing contractor,,Pro-Structures roofing,(508) 834-3981,,mass-roofing.com,,,,,,,,,,,,,,,"43 Park St #147, Framingham, MA 01704",Framingham,MIDDLESEX,MA,,"7HHJ+8F Framingham, Massachusetts",Google Maps
Roofing contractor,,Luyo and Company,(781) 964-2631,,luyoandcompany.com,,2,5.0,,,,,,luyoandco@yahoo.com,,,,https://www.facebook.com/LuyoandCo/,,"85 Kathleen Rd, Brockton, MA 02302",Brockton,PLYMOUTH,MA,,"32R3+53 Brockton, Massachusetts",Google Maps
